Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Angola,Malanje,-9.53,16.34,0,NA,191,285
Tyto alba,Angola,Sombo,-8.77,20.97,0,1,192,296
Tyto alba,Angola,Sombo,-8.77,20.9705,0,2,200,302
Tyto alba,Angola,Sombo,-8.77,20.971,0,2,202,293
Tyto alba,Angola,Cuanza,-12,17.6405,0,NA,179,278
Tyto alba,Angola,Mossamedes,-15.11,12.15,0,2,213,289
Tyto alba,Angola,Mossamedes,-15.11,12.1505,0,2,206,282
Tyto alba,Angola,Mossamedes,-15.11,12.151,0,2,193,289
Tyto alba,Angola,Chitau,-12.31,17.34,0,2,204,301
Tyto alba,Angola,Cuanza,-12,17.64,0,NA,185,286
Tyto alba,Angola,Chitau,-12.31,17.342,0,1,203,293
Tyto alba,Angola,Benguela,-12.59,13.4,0,2,187,300
Tyto alba,Angola,Benguela,-12.59,13.4005,0,2,189,300
Tyto alba,Angola,Dondo,-9.68,14.4305,0,NA,187,305
Tyto alba,Angola,Dondo,-9.68,14.431,0,1,190,299
Tyto alba,Angola,Dondo,-9.68,14.4315,0,NA,204,297
Tyto alba,Angola,HuilaAN,-14.7,15.05,0,2,204,293
Tyto alba,Angola,HuilaAN,-14.7,15.0505,0,1,195,296
Tyto alba,Angola,Chitau,-12.31,17.343,0,1,184,285
Tyto alba,Angola,Postododala,-9.333,21,0,1,188,297
Tyto alba,Botswana,Ngamiland,-19.3,23.5,0,1,198,292
Tyto alba,Botswana,Maun,-19.99,23.42,0,1,197,283
Tyto alba,South_Africa,GemsbokPan,-25.46,20.23,0,2,179,280
Tyto alba,South_Africa,GemsbokPan,-25.46,20.2305,0,1,192,290
Tyto alba,Botswana,Maun,-19.99,23.4205,0,1,200,302
Tyto alba,Botswana,Shorobe,-19.45,23.4,0,1,204,292
Tyto alba,Botswana,Ngamiland,-19.3,23.5005,0,1,193,300
Tyto alba,Botswana,Toromosa,-20.14,26.101,0,2,205,304
Tyto alba,Botswana,NataRiver,-20.14,26.1,0,1,203,298
Tyto alba,Botswana,BotetiRiver,-20.37,24.37,0,1,199,302
Tyto alba,Botswana,NataRiver,-20.14,26.1005,0,2,207,289
Tyto alba,Botswana,Kasane,-17.8,25.16,0,1,181,297
Tyto alba,Botswana,Francistown,-21.17,27.51,0,2,184,293
Tyto alba,Botswana,Mopipi,-21.19,24.86,0,2,203,295
Tyto alba,Botswana,Mumpswe,-21.19,26.1,0,1,189,293
Tyto alba,Botswana,Musu,-21.97,28.44,0,2,196,294
Tyto alba,Botswana,BotetiRiver,-20.37,24.3705,0,2,189,294
Tyto alba,Botswana,Francistown,-21.17,27.5105,0,2,186,284
Tyto alba,Botswana,Dcuia,-20,21.25,0,2,189,302
Tyto alba,Burkina_Faso,LemouroudugouLake,10.68,-4.8,0,2,227,293
Tyto alba,Burundi,Bujumbura,-3.69,29.36,0,1,209,300
Tyto alba,Cameroon,Waza,11.2,14.44,0,NA,203,299
